GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000021385.1	Desulfovibrio vulgaris str. 'Miyazaki F'
GCF_000021425.1	Bifidobacterium animalis subsp. lactis AD011
GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1
GCF_000021565.1	Persephonella marina EX-H1
GCF_000021645.1	Dictyoglomus turgidum DSM 6724
GCF_000021685.1	Thermomicrobium roseum DSM 5159
GCF_000021725.1	Nautilia profundicola AmH
GCF_000021745.1	Methylocella silvestris BL2
GCF_000021765.1	Thauera sp. MZ1T
GCF_000021805.1	Cyanothece sp. PCC 8801
GCF_000021825.1	Cyanothece sp. PCC 7424
GCF_000021865.1	Rhodobacter capsulatus SB 1003
GCF_000021885.1	Haemophilus parasuis SH0165
GCF_000021905.1	Desulfatibacillum alkenivorans AK-01
GCF_000021945.1	Chloroflexus aggregans DSM 9485
GCF_000021965.1	Methanosphaerula palustris E1-9c
GCF_000021985.1	Thioalkalivibrio sulfidiphilus HL-EbGr7
GCF_000022025.1	Pseudarthrobacter chlorophenolicus A6
GCF_000022045.1	Cyanothece sp. PCC 7425
GCF_000022065.1	[Clostridium] cellulolyticum H10
GCF_000022085.1	Methylobacterium nodulans ORS 2060
GCF_000022105.1	Brachyspira hyodysenteriae WA1
GCF_000022125.1	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774
GCF_000022205.1	Halorubrum lacusprofundi ATCC 49239
GCF_000022265.1	Geobacter daltonii FRC-32
GCF_000022325.1	Caldicellulosiruptor bescii DSM 6725
GCF_000022365.1	Thermococcus gammatolerans EJ3
GCF_000022385.1	Sulfolobus islandicus L.S.2.15
GCF_000022525.1	Neorickettsia risticii str. Illinois
GCF_000022545.1	Thermococcus sibiricus MM 739
GCF_000022565.1	Acidobacterium capsulatum ATCC 51196
GCF_000022605.2	Blattabacterium sp. (Blattella germanica) str. Bge
GCF_000022645.2	Burkholderia glumae BGR1
GCF_000022725.1	Bartonella grahamii as4aup
GCF_000022785.1	Rickettsia prowazekii str. Rp22
GCF_000022885.2	Edwardsiella ictaluri 93-146
GCF_000022905.1	Corynebacterium aurimucosum ATCC 700975
GCF_000022985.1	Aggregatibacter aphrophilus NJ8700
GCF_000023025.1	Teredinibacter turnerae T7901
GCF_000023045.1	Exiguobacterium sp. AT1b
GCF_000023065.1	Tolumonas auensis DSM 9187
GCF_000023085.1	Lactobacillus plantarum JDM1
GCF_000023105.1	Beutenbergia cavernae DSM 12333
GCF_000023125.1	Dyadobacter fermentans DSM 18053
GCF_000023145.1	Corynebacterium kroppenstedtii DSM 44385
GCF_000023165.1	Mycoplasma mycoides subsp. capri str. GM12
GCF_000023185.1	Rhizobium leguminosarum bv. trifolii WSM1325
GCF_000023205.1	Micrococcus luteus NCTC 2665
GCF_000023225.1	Desulfomicrobium baculatum DSM 4028
GCF_000023245.1	Actinosynnema mirum DSM 43827
GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331
GCF_000023285.1	Capnocytophaga ochracea DSM 7271
GCF_000023325.1	Kosmotoga olearia TBF 19.5.1
GCF_000023345.1	Variovorax paradoxus S110
GCF_000023385.1	Geobacillus sp. WCH70
GCF_000023405.1	Brachybacterium faecium DSM 4810
GCF_000023445.1	Desulfovibrio salexigens DSM 2638
GCF_000023465.1	Zunongwangia profunda SM-A87
GCF_000023585.1	Paenibacillus sp. JDR-2
GCF_000023605.1	Pectobacterium carotovorum subsp. carotovorum PC1
GCF_000023645.1	Geobacter sp. M21
GCF_000023705.1	Methylotenera mobilis JLW8
GCF_000023725.1	Flavobacteriaceae bacterium 3519-10
GCF_000023745.1	Methylovorus glucosetrophus SIP3-4
GCF_000023765.2	Candidatus Liberibacter asiaticus str. psy62
GCF_000023785.1	Hirschia baltica ATCC 49814
GCF_000023825.1	Pedobacter heparinus DSM 2366
GCF_000023845.1	Cryptobacterium curtum DSM 15641
GCF_000023865.1	Saccharomonospora viridis DSM 43017
GCF_000023885.1	Slackia heliotrinireducens DSM 20476
GCF_000023905.1	Leptotrichia buccalis C-1013-b
GCF_000023925.1	Kytococcus sedentarius DSM 20547
GCF_000023945.1	Halorhabdus utahensis DSM 12940
GCF_000023965.1	Halomicrobium mukohataei DSM 12286
GCF_000023985.1	Methanocaldococcus fervens AG86
GCF_000024005.1	Chitinophaga pinensis DSM 2588
GCF_000024025.1	Catenulispora acidiphila DSM 44928
GCF_000024065.1	Jonesia denitrificans DSM 20603
GCF_000024085.1	Kangiella koreensis DSM 16069
GCF_000024105.1	Anaerococcus prevotii DSM 20548
GCF_000024125.1	Robiginitalea biformata HTCC2501
GCF_000024165.1	Candidatus Accumulibacter phosphatis clade IIA str. UW-1
GCF_000024185.1	Methanobrevibacter ruminantium M1
GCF_000024205.1	Desulfotomaculum acetoxidans DSM 771
GCF_000024225.1	Atopobium parvulum DSM 20469
GCF_000024265.1	Eggerthella lenta DSM 2243
GCF_000024285.1	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
GCF_000024325.1	Desulfohalobium retbaense DSM 5692
GCF_000024345.1	Kribbella flavida DSM 17836
GCF_000024365.1	Nakamurella multipartita DSM 44233
GCF_000024385.1	Thermomonospora curvata DSM 43183
GCF_000024405.1	Sebaldella termitidis ATCC 33386
GCF_000024425.1	Meiothermus ruber DSM 1279
GCF_000024445.1	Bifidobacterium dentium Bd1
GCF_000024465.1	Candidatus Puniceispirillum marinum IMCC1322
GCF_000024505.1	Anaplasma centrale str. Israel
GCF_000024545.1	Stackebrandtia nassauensis DSM 44728
GCF_000024565.1	Streptobacillus moniliformis DSM 12112
GCF_000024605.1	Ammonifex degensii KC4
GCF_000024625.1	Methanocaldococcus vulcanius M7
GCF_000024645.1	Pectobacterium parmentieri WPP163
GCF_000024665.1	Fibrobacter succinogenes subsp. succinogenes S85
GCF_000024685.1	Paenibacillus sp. Y412MC10
GCF_000024725.1	Nitrosococcus halophilus Nc 4
GCF_000024765.1	Halothiobacillus neapolitanus c2
GCF_000024785.1	Gordonia bronchialis DSM 43247
GCF_000024805.1	Haliangium ochraceum DSM 14365
GCF_000024825.1	Vibrio antiquarius
GCF_000024845.1	Rhodothermus marinus DSM 4252
GCF_000024865.1	Streptosporangium roseum DSM 43021
GCF_000024885.1	Sulfurospirillum deleyianum DSM 6946
GCF_000024905.1	Thermanaerovibrio acidaminovorans DSM 6589
GCF_000024925.1	Sanguibacter keddieii DSM 10542
GCF_000024945.1	Veillonella parvula DSM 2008
GCF_000024965.1	Xylanimonas cellulosilytica DSM 15894
GCF_000024985.1	Sphaerobacter thermophilus DSM 20745
GCF_000025005.1	Thermobaculum terrenum ATCC BAA-798
GCF_000025025.1	Dehalococcoides mccartyi VS
GCF_000025065.1	Dickeya zeae Ech586
GCF_000025085.1	Staphylococcus lugdunensis HKU09-01
GCF_000025125.1	Candidatus Atelocyanobacterium thalassa isolate ALOHA
GCF_000025185.1	Pirellula staleyi DSM 6068
GCF_000025205.1	Gardnerella vaginalis 409-05
GCF_000025225.2	Mageeibacillus indolicus UPII9-5
GCF_000025265.1	Conexibacter woesei DSM 14684
GCF_000025285.1	Archaeoglobus profundus DSM 5631
GCF_000025305.1	Acidaminococcus fermentans DSM 20731
GCF_000025325.1	Haloterrigena turkmenica DSM 5511
GCF_000025345.1	Geodermatophilus obscurus DSM 43160
GCF_000025365.1	Mycoplasma gallisepticum str. R(high)
GCF_000025405.2	Pantoea ananatis LMG 20103
GCF_000025485.1	Allochromatium vinosum DSM 180
GCF_000025505.1	Ferroglobus placidus DSM 10642
GCF_000025525.1	Methanocaldococcus sp. FS406-22
GCF_000025545.1	Thioalkalivibrio sp. K90mix
GCF_000025565.1	Enterobacter cloacae subsp. cloacae ATCC 13047
GCF_000025605.1	Thermocrinis albus DSM 14484
GCF_000025625.1	Natrialba magadii ATCC 43099
GCF_000025645.1	Thermoanaerobacter italicus Ab9
GCF_000025665.1	Aciduliprofundum boonei T469
GCF_000025685.1	Haloferax volcanii DS2
GCF_000025705.1	Sideroxydans lithotrophicus ES-1
GCF_000025725.1	Denitrovibrio acetiphilus DSM 12809
GCF_000025805.1	Bacillus megaterium DSM 319
GCF_000025845.1	Mycoplasma crocodyli MP145
GCF_000025865.1	Methanohalophilus mahii DSM 5219
GCF_000025885.1	Aminobacterium colombiense DSM 12261
GCF_000025905.1	Coraliomargarita akajimensis DSM 45221
GCF_000025925.1	Prevotella ruminicola 23
GCF_000025945.1	Desulfotalea psychrophila LSv54
GCF_000025965.1	Aromatoleum aromaticum EbN1
GCF_000026005.1	Ehrlichia ruminantium str. Welgevonden
GCF_000026025.1	Chlamydia abortus S26/3
GCF_000026045.1	Natronomonas pharaonis DSM 2160
GCF_000026065.1	Lactobacillus sakei subsp. sakei 23K
GCF_000026085.1	Pseudoalteromonas haloplanktis TAC125
GCF_000026105.1	Pseudomonas entomophila L48
GCF_000026125.1	Herminiimonas arsenicoxydans
GCF_000026145.1	Bradyrhizobium sp. ORS 278
GCF_000026185.1	Erwinia tasmaniensis Et1/99
GCF_000026205.1	Candidatus Phytoplasma mali
GCF_000026225.1	Escherichia fergusonii ATCC 35469
GCF_000026405.1	Leuconostoc citreum KM20
GCF_000026685.1	Mycobacterium leprae Br4923
GCF_000027085.1	Citrobacter rodentium ICC168
GCF_000027145.1	Listeria seeligeri serovar 1/2b str. SLCC3954
GCF_000027165.1	Streptococcus mitis B6
GCF_000027185.1	Streptococcus gallolyticus UCN34
GCF_000027205.1	Erwinia amylovora ATCC 49946
GCF_000027225.1	Xenorhabdus bovienii SS-2004
GCF_000027265.1	Erwinia pyrifoliae Ep1/96
GCF_000027325.1	Mycoplasma genitalium G37
GCF_000027345.1	Mycoplasma pneumoniae M129
GCF_000043285.1	Candidatus Blochmannia floridanus
GCF_000046685.1	Bartonella quintana str. Toulouse
GCF_000046705.1	Bartonella henselae str. Houston-1
GCF_000046845.1	Acinetobacter sp. ADP1
GCF_000055785.1	Chromohalobacter salexigens DSM 3043
GCF_000055945.1	Lawsonia intracellularis PHE/MN1-00
GCF_000058485.1	Frankia alni ACN14a
GCF_000060285.1	Listeria welshimeri serovar 6b str. SLCC5334
GCF_000060345.1	Gramella forsetii KT0803
GCF_000061505.1	Azoarcus sp. BH72
GCF_000062885.1	Saccharopolyspora erythraea NRRL 2338
GCF_000063445.1	Methanocella arvoryzae MRE50
GCF_000063485.1	Clavibacter michiganensis subsp. michiganensis NCPPB 382
GCF_000063505.1	Synechococcus sp. WH 7803
GCF_000063525.1	Synechococcus sp. RCC307
GCF_000063545.1	Orientia tsutsugamushi str. Boryong
GCF_000063605.1	Mycoplasma agalactiae PG2
GCF_000064305.2	Flavobacterium psychrophilum JIP02/86
GCF_000067165.1	Sorangium cellulosum So ce56
GCF_000067205.1	Bordetella petrii
GCF_000069185.1	Mycobacterium abscessus
GCF_000069225.1	Clavibacter michiganensis subsp. sepedonicus
GCF_000069925.1	Candidatus Phytoplasma australiense
GCF_000069945.1	Corynebacterium urealyticum DSM 7109
GCF_000069965.1	Proteus mirabilis HI4320
GCF_000070465.1	Bordetella avium 197N
GCF_000072485.1	Stenotrophomonas maltophilia K279a
GCF_000085865.1	Mycoplasma hominis ATCC 23114
GCF_000087965.2	Xanthomonas albilineans GPE PC73
GCF_000090965.1	Buchnera aphidicola BCc
GCF_000091125.1	Sphingobium japonicum UT26S
GCF_000091305.1	Streptomyces scabiei 87.22
GCF_000091325.1	Shewanella violacea DSS12
GCF_000091465.1	Vibrio tasmaniensis LGP32
GCF_000091665.1	Methanocaldococcus jannaschii DSM 2661
GCF_000091725.1	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1
GCF_000091785.1	Legionella longbeachae NSW150
GCF_000091985.1	Helicobacter mustelae 12198
GCF_000092025.1	Agrobacterium fabrum str. C58
GCF_000092105.1	Planctopirus limnophila DSM 3776
GCF_000092125.1	Meiothermus silvanus DSM 9946
GCF_000092185.1	Thermosphaera aggregans DSM 11486
GCF_000092205.1	Desulfurivibrio alkaliphilus AHT 2
GCF_000092225.1	Tsukamurella paurometabola DSM 20162
GCF_000092245.1	Arcobacter nitrofigilis DSM 7299
GCF_000092265.1	Moraxella catarrhalis BBH18
GCF_000092285.1	Caulobacter segnis ATCC 21756
GCF_000092305.1	Methanocaldococcus infernus ME
GCF_000092365.1	Arcanobacterium haemolyticum DSM 20595
GCF_000092385.1	Streptomyces bingchenggensis BCW-1
GCF_000092405.1	Syntrophothermus lipocalidus DSM 12680
GCF_000092425.1	Truepera radiovictrix DSM 17093
GCF_000092465.1	Staphylothermus hellenicus DSM 12710
GCF_000092505.1	Leuconostoc kimchii IMSNU 11154
GCF_000092605.1	Thiomonas intermedia K12
GCF_000092645.1	Thermobispora bispora DSM 43833
GCF_000092785.1	Waddlia chondrophila WSU 86-1044
GCF_000092825.1	Segniliparus rotundus DSM 44985
GCF_000092845.1	Brachyspira murdochii DSM 12563
GCF_000092865.1	Cellulomonas flavigena DSM 20109
GCF_000092885.1	Burkholderia sp. CCGE1002
GCF_000092905.1	Kyrpidia tusciae DSM 2912
GCF_000092925.1	Starkeya novella DSM 506
GCF_000092945.1	Thermincola potens JR
GCF_000092985.1	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111
GCF_000093025.1	Methylotenera versatilis 301
GCF_000093065.1	Candidatus Riesia pediculicola USDA
GCF_000093085.1	[Bacillus] selenitireducens MLS10
GCF_000093145.3	Comamonas testosteroni CNB-2
GCF_000093165.1	Blattabacterium sp. (Periplaneta americana) str. BPLAN
GCF_000143085.1	Nitrosococcus watsonii C-113
GCF_000143145.1	Hyphomicrobium denitrificans ATCC 51888
GCF_000143165.1	Dehalogenimonas lykanthroporepellens BL-DC-9
GCF_000143225.1	Herbaspirillum seropedicae SmR1
GCF_000143685.1	Clostridium ljungdahlii DSM 13528
GCF_000143705.1	Corynebacterium pseudotuberculosis FRC41
GCF_000143725.1	Brachyspira pilosicoli 95/1000
GCF_000143845.1	Olsenella uli DSM 7084
GCF_000143885.2	Gordonia sp. KTR9
GCF_000143965.1	Desulfarculus baarsii DSM 2075
GCF_000143985.1	Sediminispirochaeta smaragdinae DSM 11293
GCF_000144405.1	Prevotella melaninogenica ATCC 25845
GCF_000144605.1	Brevundimonas subvibrioides ATCC 15264
GCF_000144625.1	[Clostridium] saccharolyticum WM1
GCF_000144645.1	Thermosediminibacter oceani DSM 16646
GCF_000144695.1	Acetohalobium arabaticum DSM 5501
GCF_000144915.1	Acidilobus saccharovorans 345-15
GCF_000145035.1	Butyrivibrio proteoclasticus B316
GCF_000145215.1	Caldicellulosiruptor obsidiansis OB47
GCF_000145235.1	Micromonospora aurantiaca ATCC 27029
GCF_000145255.1	Gallionella capsiferriformans ES-2
GCF_000145275.1	Clostridium cellulovorans 743B
GCF_000145295.1	Methanothermobacter marburgensis str. Marburg
GCF_000145615.1	Thermoanaerobacterium thermosaccharolyticum DSM 571
GCF_000145705.1	Mycoplasma hyorhinis HUB-1
GCF_000146065.2	Candidatus Cloacimonas acidaminovorans str. Evry
GCF_000146165.2	Shewanella oneidensis MR-1
GCF_000146185.1	[Eubacterium] eligens ATCC 27750
GCF_000146565.1	Bacillus subtilis subsp. spizizenii str. W23
GCF_000146875.3	Paenibacillus polymyxa E681
GCF_000147055.1	Dickeya dadantii 3937
GCF_000147075.1	Spirochaeta thermophila DSM 6192
GCF_000147335.1	Cyanothece sp. PCC 7822
GCF_000147355.1	Sulfurimonas autotrophica DSM 16294
GCF_000147695.2	Thermoanaerobacter wiegelii Rt8.B1
GCF_000147715.2	Mesotoga prima MesG1.Ag.4.2
GCF_000147815.2	Streptomyces violaceusniger Tu 4113
GCF_000147835.2	Sphingobium chlorophenolicum L-1
GCF_000147875.1	Methanolacinia petrolearia DSM 11571
GCF_000148385.1	Vulcanisaeta distributa DSM 14429
GCF_000148625.1	Mycoplasma fermentans JER
GCF_000148645.1	Ferrimonas balearica DSM 9799
GCF_000148685.1	Burkholderia sp. CCGE1003
GCF_000148935.1	Pantoea vagans C9-1
GCF_000151105.2	Thermococcus barophilus MP
GCF_000151205.2	Thermococcus sp. AM4
GCF_000152245.2	Eubacterium limosum KIST612
GCF_000152265.2	Ferroplasma acidarmanus fer1
GCF_000152825.2	Parvularcula bermudensis HTCC2503
GCF_000152925.2	Dokdonia sp. MED134
GCF_000152945.2	Polaribacter sp. MED152
GCF_000153165.2	Maribacter sp. HTCC2170
GCF_000153405.2	Psychromonas sp. CNPT3
GCF_000153485.2	Psychroflexus torquis ATCC 700755
GCF_000154745.2	Phaeobacter inhibens 2.10
GCF_000154785.2	Roseobacter litoralis Och 149
GCF_000155675.2	Octadecabacter antarcticus 307
GCF_000155735.2	Octadecabacter arcticus 238
GCF_000157355.2	Enterococcus casseliflavus EC20
GCF_000157895.3	Mycobacterium kansasii ATCC 12478
GCF_000158275.2	Fusobacterium nucleatum subsp. animalis 7_1
GCF_000159155.2	Gardnerella vaginalis ATCC 14019
GCF_000161795.2	Synechococcus sp. WH 8109
GCF_000162235.2	Fusobacterium nucleatum subsp. vincentii 3_1_36A2
GCF_000163055.2	Prevotella sp. oral taxon 299 str. F0039
GCF_000163895.2	Filifactor alocis ATCC 35896
GCF_000164675.2	Streptococcus parasanguinis ATCC 15912
GCF_000164695.2	Rothia dentocariosa ATCC 17931
GCF_000164865.1	Enterobacter lignolyticus SCF1
GCF_000164885.1	Ketogulonicigenium vulgare Y25
GCF_000164965.1	Bifidobacterium bifidum S17
GCF_000164985.3	Paenibacillus polymyxa SC2
GCF_000165465.1	Halanaerobium praevalens DSM 2228
GCF_000165485.1	Stigmatella aurantiaca DW4/3-1
GCF_000165505.1	Ilyobacter polytropus DSM 2926
GCF_000165715.2	Rubinisphaera brasiliensis DSM 5305
GCF_000165835.1	Achromobacter xylosoxidans A8
GCF_000165925.1	Bacillus atrophaeus 1942
GCF_000166055.1	Rhodomicrobium vannielii ATCC 17100
GCF_000166075.1	Geobacillus sp. Y4.1MC1
GCF_000166095.1	Methanothermus fervidus DSM 2088
GCF_000166135.1	Frankia inefficax
GCF_000166275.1	Algoriphagus machipongonensis
GCF_000166295.1	Marinobacter adhaerens HP15
GCF_000166335.1	Caldicellulosiruptor owensensis OL
GCF_000166355.1	Caldicellulosiruptor hydrothermalis 108
GCF_000166395.1	Leadbetterella byssophila DSM 17132
GCF_000166415.1	Halanaerobium hydrogeniformans
GCF_000166695.1	Caldicellulosiruptor kristjanssonii I77R1B
GCF_000169195.2	Bacillus coagulans 36D1
GCF_000170955.2	Borreliella valaisiana VS116
GCF_000172155.1	Verrucomicrobium spinosum DSM 4136 = JCM 18804
GCF_000172635.2	Alteromonas macleodii ATCC 27126
GCF_000172995.2	Halogeometricum borinquense DSM 11551
GCF_000174395.2	Enterococcus faecium DO
GCF_000175095.2	Nitrosomonas sp. AL212
GCF_000175115.2	Geobacter sp. M18
GCF_000175215.2	Asticcacaulis excentricus CB 48
GCF_000175575.2	Acidithiobacillus caldus ATCC 51756
GCF_000175935.2	Pantoea sp. At-9b
GCF_000176035.2	Mesorhizobium opportunistum WSM2075
GCF_000176115.2	Streptomyces pratensis ATCC 33331
GCF_000176835.2	Serratia plymuthica 4Rx13
GCF_000176855.2	Acidovorax avenae subsp. avenae ATCC 19860
GCF_000176915.2	Desulfovibrio aespoeensis Aspo-2
GCF_000176935.3	Burkholderia sp. CCGE1001
GCF_000177195.2	Streptomyces sp. SirexAA-E
GCF_000177235.2	Bacillus cellulosilyticus DSM 2522
GCF_000177255.2	Rhodopseudomonas palustris DX-1
GCF_000177535.2	Corynebacterium resistens DSM 45100
GCF_000177615.2	Frankia symbiont of Datisca glomerata
GCF_000177635.2	Desulfurispirillum indicum S5
GCF_000178115.2	Ethanoligenens harbinense YUAN-3
GCF_000178835.2	Clostridium lentocellum DSM 5427
GCF_000178955.2	Granulicella mallensis MP5ACTX8
GCF_000178975.2	Granulicella tundricola MP5ACTX9
GCF_000179015.2	Alicycliphilus denitrificans BC
GCF_000179035.2	Mycoplasma suis str. Illinois
GCF_000179395.2	Corynebacterium variabile DSM 44702
GCF_000179575.2	Methanothermococcus okinawensis IH1
GCF_000179635.2	Ruminococcus albus 7 = DSM 20455
GCF_000179915.2	Terriglobus saanensis SP1PR4
GCF_000180175.2	Plautia stali symbiont
GCF_000182745.2	Komagataeibacter medellinensis NBRC 3288
GCF_000183135.1	Paludibacter propionicigenes WB4
GCF_000183155.1	Riemerella anatipestifer ATCC 11845 = DSM 15868
GCF_000183365.1	Mycoplasma leachii PG50
GCF_000183385.1	Mycoplasma bovis PG45
GCF_000183405.1	Calditerrivibrio nitroreducens DSM 19672
GCF_000183425.1	Marivirga tractuosa DSM 4126
GCF_000183665.1	Candidatus Liberibacter solanacearum CLso-ZC1
GCF_000183725.1	Sulfuricurvum kujiense DSM 16994
GCF_000183745.1	Oceanithermus profundus DSM 14977
GCF_000184065.1	Pseudoalteromonas sp. SM9913
GCF_000184325.1	Vibrio furnissii NCTC 11218
GCF_000184345.1	Spirochaeta thermophila DSM 6578
GCF_000184685.1	Intrasporangium calvum DSM 43043
GCF_000184705.1	Thermaerobacter marianensis DSM 12885
GCF_000184745.1	Variovorax paradoxus EPS
GCF_000185245.1	Helicobacter pylori SouthAfrica7
GCF_000185745.1	Taylorella equigenitalis MCE9
GCF_000185805.1	Thermovibrio ammonificans HB-1
GCF_000185885.1	Staphylococcus pseudintermedius HKU10-03
GCF_000185905.1	Mesorhizobium ciceri biovar biserrulae WSM1271
GCF_000185965.1	Pseudoxanthomonas suwonensis 11-1
GCF_000185985.2	Candidatus Blochmannia vafer str. BVAF
GCF_000186225.1	Bacteroides helcogenes P 36-108
GCF_000186245.1	Nitratifractor salsuginis DSM 16511
GCF_000186265.1	Cellulophaga algicola DSM 14237
GCF_000186345.1	Isosphaera pallida ATCC 43644
GCF_000186365.1	Desulfurococcus mucosus DSM 2162
GCF_000186385.1	Deinococcus maricopensis DSM 21211
GCF_000186885.1	Desulfobulbus propionicus DSM 2032
GCF_000186985.1	Mycoplasma haemofelis Ohio2
GCF_000187005.1	Thermus scotoductus SA-01
GCF_000187705.1	Rahnella sp. Y9602
GCF_000187935.1	Streptococcus parauberis NCFD 2020
GCF_000189295.2	Desulfovibrio desulfuricans ND132
GCF_000189415.1	Weeksella virosa DSM 16922
GCF_000189535.1	Pseudarthrobacter phenanthrenivorans Sphe3
GCF_000189775.2	Thermoanaerobacterium xylanolyticum LX-11
GCF_000190315.1	Vulcanisaeta moutnovskia 768-28
GCF_000190435.1	Sphaerochaeta globosa str. Buddy
GCF_000190535.1	Odoribacter splanchnicus DSM 20712
GCF_000190555.1	Deinococcus proteolyticus MRP
GCF_000190575.1	Bacteroides salanitronis DSM 18170
GCF_000190595.1	Cellulophaga lytica DSM 7489
GCF_000190635.1	Syntrophobotulus glycolicus DSM 8271
GCF_000190735.1	Pseudopedobacter saltans DSM 12145
GCF_000191045.1	Desulfurobacterium thermolithotrophum DSM 11699
GCF_000191145.1	Acinetobacter pittii PHEA-2
GCF_000191545.1	Lactobacillus acidophilus 30SC
GCF_000191585.1	Methanobacterium lacus
GCF_000191925.1	Chlamydia psittaci 6BC
GCF_000192635.1	Agrobacterium sp. H13-3
GCF_000192745.1	Polymorphum gilvum SL003B-26A1
GCF_000192845.1	Sphingobacterium sp. 21
GCF_000192865.1	Marinomonas mediterranea MMB-1
GCF_000193205.1	Aerococcus urinae ACS-120-V-Col10a
GCF_000193375.1	Thermoproteus uzoniensis 768-20
GCF_000193395.1	Prevotella denticola F0289
GCF_000193595.2	Bordetella pertussis B1917
GCF_000194135.1	Hippea maritima DSM 10411
GCF_000194605.1	Fluviicola taffensis DSM 16823
GCF_000194625.1	Archaeoglobus veneficus SNP6
GCF_000194745.1	Burkholderia gladioli BSR3
GCF_000194805.1	Pseudomonas brassicacearum subsp. brassicacearum NFM421
GCF_000195085.1	Candidatus Pelagibacter sp. IMCC9063
GCF_000195275.1	Treponema succinifaciens DSM 2489
GCF_000195295.1	Desulfobacca acetoxidans DSM 11109
GCF_000195315.1	Coriobacterium glomerans PW2
GCF_000195335.1	Marinithermus hydrothermalis DSM 14884
GCF_000195515.1	Bacillus amyloliquefaciens TA208
GCF_000195555.1	Francisella cf. tularensis subsp. novicida 3523
GCF_000195575.1	Carnobacterium sp. 17-4
GCF_000195895.1	Methanosarcina barkeri str. Fusaro
GCF_000196015.1	Cupriavidus metallidurans CH34
GCF_000196095.1	Vibrio parahaemolyticus RIMD 2210633
GCF_000196215.1	Borreliella bavariensis PBi
GCF_000196235.1	Arthrobacter sp. FB24
GCF_000196275.1	Deinococcus geothermalis DSM 11300
GCF_000196295.1	Neisseria lactamica 020-06
GCF_000196315.1	Croceibacter atlanticus HTCC2559
GCF_000196355.1	Nitrosospira multiformis ATCC 25196
GCF_000196395.1	Aeromonas salmonicida subsp. salmonicida A449
GCF_000196435.1	Bartonella tribocorum CIP 105476
GCF_000196455.1	Acetoanaerobium sticklandii
GCF_000196475.1	Photorhabdus asymbiotica
GCF_000196495.1	Aliivibrio salmonicida LFI1238
GCF_000196515.1	'Nostoc azollae' 0708
GCF_000196535.1	Mobiluncus curtisii ATCC 43063
GCF_000196615.1	Erwinia billingiae Eb661
GCF_000196655.1	Methanohalobium evestigatum Z-7303
GCF_000196675.1	Pseudonocardia dioxanivorans CB1190
GCF_000196695.1	Rhodococcus equi 103S
GCF_000196815.1	Nitrospira defluvii
GCF_000196835.1	Amycolatopsis mediterranei U32
GCF_000196855.1	Leuconostoc gelidum subsp. gasicomitatum LMG 18811
GCF_000196875.1	Halomonas elongata DSM 2581
GCF_000196895.1	Halalkalicoccus jeotgali B3
GCF_000197735.1	Glutamicibacter arilaitensis Re117
GCF_000198515.1	gamma proteobacterium HdN1
GCF_000198775.1	Paraburkholderia rhizoxinica HKI 454
GCF_000199675.1	Anaerolinea thermophila UNI-1
GCF_000200595.1	Helicobacter felis ATCC 49179
GCF_000202635.1	Microbacterium testaceum StLB037
GCF_000203875.1	Ralstonia eutropha JMP134
GCF_000203895.1	Paracoccus denitrificans PD1222
GCF_000204115.1	Aeromonas veronii B565
GCF_000204135.1	Chlamydophila pecorum E58
GCF_000204155.1	Verrucosispora maris AB-18-032
GCF_000204295.1	Pseudomonas mendocina NK-01
GCF_000204415.1	Methanosaeta concilii GP6
GCF_000204565.1	Clostridium botulinum BKT015925
GCF_000204925.1	Metallosphaera cuprina Ar-4
GCF_000208385.1	Sphaerochaeta coccoides DSM 17374
GCF_000208405.1	Selenomonas sputigena ATCC 35185
GCF_000209655.1	Pusillimonas sp. T7-7
GCF_000209675.1	Gallibacterium anatis UMN179
GCF_000210895.1	Haemophilus parainfluenzae T3T1
GCF_000210915.2	Halobacteriovorax marinus SJ
GCF_000211375.1	Lactobacillus buchneri NRRL B-30929
GCF_000211475.1	Pyrococcus sp. NA2
GCF_000211855.2	Lacinutrix sp. 5H-3-7-4
GCF_000212335.1	Glaciecola sp. 4H-3-7+YE-5
GCF_000212355.1	Dokdonia sp. 4H-3-7-5
GCF_000212375.1	Porphyromonas asaccharolytica DSM 20707
GCF_000212395.1	Thermodesulfobium narugense DSM 14796
GCF_000212415.1	Treponema brennaborense DSM 12168
GCF_000212675.2	Desulfovibrio africanus str. Walvis Bay
GCF_000212695.1	Cellulomonas fimi ATCC 484
GCF_000212735.1	Haliscomenobacter hydrossis DSM 1100
GCF_000213215.1	Acidianus hospitalis W1
GCF_000213235.1	Tepidanaerobacter acetatoxydans Re1
GCF_000213255.1	Mahella australiensis 50-1 BON
GCF_000213655.1	Alteromonas naphthalenivorans
GCF_000213805.1	Pseudomonas fulva 12-X
GCF_000213865.1	Bifidobacterium breve ACS-071-V-Sch8b
GCF_000214095.2	Acidithiobacillus ferrivorans SS3
GCF_000214155.1	Mycobacterium sinense
