	s	c	o	f	n
GCF_000183135.1_ASM18313v1_protein.faa.named.faa	0.07	0.07	0.53	0.45	0.5
GCF_000011245.1_ASM1124v1_protein.faa.named.faa	0.03	0.05	0.4	0.32	0.47
GCF_000242335.1_ASM24233v3_protein.faa.named.faa	0.1	0.02		0.5	0.26
GCF_000830985.1_ASM83098v1_protein.faa.named.faa	0.05	0.02	0.21	0.21	0.52
GCF_000008465.1_ASM846v1_protein.faa.named.faa	0.19	0.02	0.24	0.49	0.4
GCF_000011045.1_ASM1104v1_protein.faa.named.faa	0.12	0.01	0.14	0.05	0.15
GCF_000019605.1_ASM1960v1_protein.faa.named.faa	0.31	0.07		0.26	0.35
GCF_000026405.1_ASM2640v1_protein.faa.named.faa	0.16	0.0	0.09	0.05	0.1
GCF_000253315.1_ASM25331v1_protein.faa.named.faa	0.01	0.12	0.0	0.08	0.06
GCF_001050475.1_ASM105047v1_protein.faa.named.faa	0.05	0.01	0.06	0.04	0.14
GCF_000442435.1_ASM44243v1_protein.faa.named.faa	0.14	0.09	0.59	0.36	0.8
GCF_000024685.1_ASM2468v1_protein.faa.named.faa	0.14	0.03	0.34	0.37	0.58
GCF_000012205.1_ASM1220v1_protein.faa.named.faa	0.15	0.05	0.38	0.2	0.68
GCF_000013645.1_ASM1364v1_protein.faa.named.faa	0.03	0.2	0.66	0.55	0.85
GCF_000191925.1_ASM19192v1_protein.faa.named.faa	0.05	0.12	0.03	0.05	0.08
GCF_000009205.1_ASM920v1_protein.faa.named.faa	0.07	0.09	0.04	0.14	0.3
GCF_001298465.1_ASM129846v1_protein.faa.named.faa	0.39	0.04	0.13	0.65	0.43
GCF_000018865.1_ASM1886v1_protein.faa.named.faa	0.36	0.14	0.58	0.32	0.72
GCF_000026225.1_ASM2622v1_protein.faa.named.faa	0.13	0.07	0.19	0.55	0.63
GCF_000828915.1_ASM82891v1_protein.faa.named.faa	0.19	0.05	0.28	0.34	0.64
GCF_000012665.1_ASM1266v1_protein.faa.named.faa	0.68	0.08	0.38	0.54	0.39
GCF_001402875.1_ASM140287v1_protein.faa.named.faa	0.15	0.06	0.53	0.74	0.68
GCF_000485905.1_ASM48590v1_protein.faa.named.faa	0.11	0.05	0.48	0.34	0.62
GCF_000404225.1_ASM40422v1_protein.faa.named.faa	0.29	0.41	0.44	0.05	0.39
GCF_000328625.1_ASM32862v1_protein.faa.named.faa	0.33	0.06	0.22	0.09	0.31
GCF_001456155.1_ASM145615v1_protein.faa.named.faa	0.23	0.0	0.11	0.31	0.44
GCF_000018105.1_ASM1810v1_protein.faa.named.faa	0.1	0.11	0.67	0.65	0.77
GCF_000019685.1_ASM1968v1_protein.faa.named.faa	0.14	0.0	0.04	0.13	0.02
GCF_000024785.1_ASM2478v1_protein.faa.named.faa	0.04	0.03	0.33	0.22	0.67
GCF_001499615.1_Acetobacter_senegalensis_108B_protein.faa.named.faa	0.05	0.04	0.29	0.55	0.67
GCF_001482365.1_ASM148236v1_protein.faa.named.faa	0.06	0.01	0.33	0.26	0.57
GCF_000255295.1_ASM25529v1_protein.faa.named.faa	0.01	0.04	0.26	0.52	0.65
GCF_000695835.1_ASM69583v1_protein.faa.named.faa	0.16	0.06	0.0	0.02	0.24
GCF_000307165.1_ASM30716v1_protein.faa.named.faa	0.23	0.02		0.06	0.13
GCF_001687805.1_ASM168780v1_protein.faa.named.faa	0.05	0.04	0.29	0.84	0.5
GCF_000016905.1_ASM1690v1_protein.faa.named.faa	0.07	0.02		0.05	0.24
GCF_001647635.1_ASM164763v1_protein.faa.named.faa	0.49	0.12	0.23	0.25	0.37
GCF_000340435.2_ASM34043v3_protein.faa.named.faa	0.08	0.04	0.42	0.31	0.71
GCF_000242915.1_ASM24291v2_protein.faa.named.faa	0.41	0.07	0.26	0.78	0.64
GCF_000015025.1_ASM1502v1_protein.faa.named.faa	0.18	0.05	0.34	0.3	0.65
GCF_000214725.1_ASM21472v1_protein.faa.named.faa	0.32	0.88	0.42	0.12	0.44
GCF_000525635.1_ASM52563v1_protein.faa.named.faa	0.03	0.04	0.34	0.21	0.75
GCF_000025205.1_ASM2520v1_protein.faa.named.faa	0.05	0.01	0.1	0.1	0.08
GCF_000015385.1_ASM1538v1_protein.faa.named.faa	0.11	0.01	0.15	0.3	0.04
GCF_000017845.1_ASM1784v1_protein.faa.named.faa	0.17	0.12	0.61	0.39	0.75
GCF_000725285.1_ASM72528v1_protein.faa.named.faa	0.02	0.03	0.23	0.33	0.49
GCF_001543265.1_ASM154326v1_protein.faa.named.faa	0.34	0.03	0.36	0.61	0.65
GCF_000284095.1_ASM28409v1_protein.faa.named.faa	0.25	0.14	0.3	0.37	0.42
GCF_000020665.1_ASM2066v1_protein.faa.named.faa	0.02	0.04	0.22	0.4	0.6
GCF_000019185.1_ASM1918v1_protein.faa.named.faa	0.2	0.09	0.26	0.96	0.57
GCF_000014565.1_ASM1456v1_protein.faa.named.faa	0.08	0.04	0.34	0.22	0.72
GCF_000199675.1_ASM19967v1_protein.faa.named.faa	0.29	0.07	0.29	0.6	0.55
GCF_000013985.1_ASM1398v1_protein.faa.named.faa	0.04	0.04	0.33	0.69	0.7
GCF_001027545.1_ASM102754v1_protein.faa.named.faa	0.17	0.06	0.34	0.09	0.34
GCF_000153405.2_ASM15340v2_protein.faa.named.faa	0.14	0.08	0.22	0.79	0.52
GCF_000284255.1_ASM28425v1_protein.faa.named.faa	0.18	0.24	0.62	0.92	0.76
GCF_000147835.2_ASM14783v3_protein.faa.named.faa	0.06	0.03	0.32	0.69	0.7
GCF_001484065.1_ASM148406v1_protein.faa.named.faa	0.01	0.04	0.32	0.37	0.7
GCF_001558475.1_ASM155847v1_protein.faa.named.faa	0.08	0.03	0.22	0.77	0.46
GCF_000008645.1_ASM864v1_protein.faa.named.faa	0.35	0.91	0.42	0.04	0.38
GCF_000015845.1_ASM1584v1_protein.faa.named.faa	0.12	0.05	0.29	0.91	0.54
GCF_000014125.1_ASM1412v1_protein.faa.named.faa	0.09	0.03	0.04	0.06	0.2
GCF_000092925.1_ASM9292v1_protein.faa.named.faa	0.03	0.18	0.3	0.71	0.7
GCF_000179635.2_ASM17963v2_protein.faa.named.faa	0.07	0.09	0.24	0.07	0.23
GCF_000159155.2_ASM15915v2_protein.faa.named.faa	0.03	0.01	0.12	0.1	0.08
GCF_000968535.2_ASM96853v1_protein.faa.named.faa	0.16	0.19	0.48	0.73	0.7
GCF_000195275.1_ASM19527v1_protein.faa.named.faa	0.16	0.07	0.17	0.11	0.17
GCF_000521505.1_ASM52150v1_protein.faa.named.faa	0.09	0.08	0.36	0.46	0.71
GCF_000008185.1_ASM818v1_protein.faa.named.faa	0.02	0.01	0.01	0.08	0.14
GCF_000184065.1_ASM18406v1_protein.faa.named.faa	0.22	0.01	0.32	0.41	0.46
GCF_000012285.1_ASM1228v1_protein.faa.named.faa	0.33	0.04	0.33	0.26	0.54
GCF_000152925.2_ASM15292v3_protein.faa.named.faa	0.21	0.19	0.31	0.32	0.33
GCF_000011785.1_ASM1178v1_protein.faa.named.faa	0.18	0.01		0.44	0.25
GCF_000024665.1_ASM2466v1_protein.faa.named.faa	0.01	0.06	0.41	0.09	0.4
GCF_000013785.1_ASM1378v1_protein.faa.named.faa	0.1	0.09	0.64	0.88	0.69
GCF_001653935.1_ASM165393v1_protein.faa.named.faa	0.01	0.04	0.33	0.52	0.73
GCF_000009985.1_ASM998v1_protein.faa.named.faa	0.35	0.12	0.53	0.98	0.75
GCF_000300475.1_ASM30047v1_protein.faa.named.faa	0.18	0.05	0.46	0.36	0.68
GCF_000816365.1_ASM81636v1_protein.faa.named.faa	0.26	0.03	0.19	0.73	0.52
GCF_000006825.1_ASM682v1_protein.faa.named.faa	0.18	0.01		0.49	0.3
GCF_001267175.1_ASM126717v1_protein.faa.named.faa	0.06	0.02	0.22	0.55	0.44
GCF_000632805.1_ASM63280v1_protein.faa.named.faa	0.05	0.04	0.26	0.86	0.74
GCF_000245355.1_ASM24535v1_protein.faa.named.faa	0.13	0.04	0.43	0.28	0.73
GCF_001652465.1_ASM165246v1_protein.faa.named.faa	0.37	0.08	0.25	0.24	0.44
GCF_000827125.1_ASM82712v1_protein.faa.named.faa	0.29	0.08	0.19	0.67	0.54
GCF_000755705.1_ASM75570v1_protein.faa.named.faa	0.02	0.02		0.06	0.21
GCF_001314305.1_ASM131430v1_protein.faa.named.faa	0.09	0.03	0.28	0.73	0.65
GCF_001308265.1_ASM130826v1_protein.faa.named.faa	0.11	0.05	0.35	0.59	0.69
GCF_001650215.1_ASM165021v1_protein.faa.named.faa	0.07	0.03	0.32	0.26	0.72
GCF_000230555.1_ASM23055v1_protein.faa.named.faa	0.25	0.02	0.34	0.38	0.63
GCF_000503895.1_ASM50389v1_protein.faa.named.faa	0.03	0.19	0.35	0.76	0.73
GCF_001582075.1_ASM158207v1_protein.faa.named.faa	0.17	0.08	0.31	0.2	0.64
GCF_001008165.2_ASM100816v2_protein.faa.named.faa	0.25	0.02	0.36	0.59	0.66
GCF_000193375.1_ASM19337v1_protein.faa.named.faa	0.53	0.05	0.08	0.24	0.38
GCF_000021945.1_ASM2194v1_protein.faa.named.faa	0.37	0.13	0.48	0.4	0.67
GCF_000297055.2_ASM29705v2_protein.faa.named.faa	0.64	0.09	0.35	0.78	0.66
GCF_000283275.1_ASM28327v1_protein.faa.named.faa	0.0	0.03	0.36	0.41	0.61
GCF_000023825.1_ASM2382v1_protein.faa.named.faa	0.25	0.03	0.39	0.51	0.57
GCF_001578105.1_ASM157810v1_protein.faa.named.faa	0.05	0.04	0.35	0.68	0.69
GCF_000176115.2_ASM17611v2_protein.faa.named.faa	0.16	0.03	0.31	0.21	0.72
GCF_000024885.1_ASM2488v1_protein.faa.named.faa	0.43	0.08	0.16	0.7	0.51
GCF_000014185.1_ASM1418v1_protein.faa.named.faa	0.22	0.09	0.38	0.21	0.64
GCF_000299335.2_ASM29933v2_protein.faa.named.faa	0.14	0.03	0.37	0.62	0.56
GCF_000007565.2_ASM756v2_protein.faa.named.faa	0.09	0.03	0.32	0.49	0.71
GCF_000007685.1_ASM768v1_protein.faa.named.faa	0.05	0.03	0.34	0.4	0.63
GCF_000253015.1_ASM25301v1_protein.faa.named.faa	0.01	0.01	0.15	0.14	0.33
GCF_000189775.2_ASM18977v3_protein.faa.named.faa	0.21	0.06	0.16	0.11	0.31
GCF_000306725.1_ASM30672v1_protein.faa.named.faa	0.34	0.91	0.4	0.16	0.53
GCF_001021025.1_ASM102102v1_protein.faa.named.faa	0.22	0.0	0.37	0.33	0.41
GCF_000018945.1_ASM1894v1_protein.faa.named.faa	0.18	0.06	0.14	0.1	0.31
GCF_000087965.2_ASM8796v1_protein.faa.named.faa	0.24	0.03	0.27	0.44	0.61
GCF_000255135.1_ASM25513v1_protein.faa.named.faa	0.14	0.04		0.05	0.21
GCF_000758685.1_ASM75868v1_protein.faa.named.faa	0.23	0.07	0.47	0.17	0.5
GCF_000968195.1_ASM96819v1_protein.faa.named.faa	0.03	0.05	0.23	0.28	0.53
GCF_000214215.1_ASM21421v1_protein.faa.named.faa	0.28	0.03	0.41	0.18	0.56
GCF_000180175.2_ASM18017v2_protein.faa.named.faa	0.02	0.05	0.4	0.55	0.6
GCF_000473305.1_ASM47330v1_protein.faa.named.faa	0.1	0.04		0.27	0.32
GCF_000829415.1_ASM82941v1_protein.faa.named.faa	0.0	0.05	0.25	0.49	0.67
GCF_000019065.1_ASM1906v1_protein.faa.named.faa	0.15	0.04	0.26	0.07	0.28
GCF_001618885.1_ASM161888v1_protein.faa.named.faa	0.16	0.03	0.17	0.17	0.42
GCF_000763575.1_ASM76357v1_protein.faa.named.faa	0.32	0.14	0.22	0.09	0.34
GCF_000015145.1_ASM1514v1_protein.faa.named.faa	0.55	0.05	0.02	0.14	0.27
GCF_000746585.1_ASM74658v2_protein.faa.named.faa	0.01	0.02	0.13	0.36	0.35
GCF_000973525.1_ASM97352v1_protein.faa.named.faa	0.17	0.01	0.05	0.49	0.31
GCF_000027145.1_ASM2714v1_protein.faa.named.faa	0.0	0.02	0.26	0.14	0.32
GCF_001310255.1_ASM131025v1_protein.faa.named.faa	0.24	0.03	0.4	0.54	0.58
GCF_000025325.1_ASM2532v1_protein.faa.named.faa	0.11	0.11	0.29	0.12	0.65
GCF_001553955.1_ASM155395v1_protein.faa.named.faa	0.07	0.04	0.23	0.32	0.57
GCF_000827005.1_ASM82700v1_protein.faa.named.faa	0.12	0.04	0.33	0.2	0.69
GCF_000829395.1_ASM82939v1_protein.faa.named.faa	0.39	0.09	0.04	0.02	0.13
GCF_000014205.1_ASM1420v1_protein.faa.named.faa	0.25	0.04	0.0	0.04	0.12
GCF_000828855.1_ASM82885v1_protein.faa.named.faa	0.05	0.08	0.0	0.15	0.01
GCF_000018405.1_ASM1840v1_protein.faa.named.faa	0.48	0.15	0.1	0.68	0.41
GCF_000494915.1_ASM49491v1_protein.faa.named.faa	0.04	0.05	0.35	0.37	0.68
GCF_001077815.2_ASM107781v2_protein.faa.named.faa	0.11	0.03	0.31	0.58	0.64
GCF_000767055.1_ASM76705v1_protein.faa.named.faa	0.02	0.01	0.42	0.26	0.45
GCF_000294775.2_ASM29477v2_protein.faa.named.faa	0.12	0.03	0.35	0.37	0.7
GCF_000012605.1_ASM1260v1_protein.faa.named.faa	0.16	0.08	0.34	0.49	0.63
GCF_000967305.2_ASM96730v2_protein.faa.named.faa	0.23	0.05	0.34	0.49	0.74
GCF_000009705.1_ASM970v1_protein.faa.named.faa	0.19	0.12	0.69	0.42	0.8
GCF_000009125.1_ASM912v1_protein.faa.named.faa	0.05	0.05	0.32	0.41	0.71
GCF_000724625.1_ASM72462v1_protein.faa.named.faa	0.14	0.08	0.3	0.47	0.66
GCF_000013685.1_ASM1368v1_protein.faa.named.faa	0.15	0.11	0.62	0.73	0.78
GCF_000092945.1_ASM9294v1_protein.faa.named.faa	0.54	0.24	0.43	0.39	0.54
GCF_000284015.1_ASM28401v1_protein.faa.named.faa	0.09	0.05	0.35	0.25	0.69
GCF_000017645.1_ASM1764v1_protein.faa.named.faa	0.12	0.2	0.67	0.59	0.81
GCF_000020825.1_ASM2082v1_protein.faa.named.faa	0.45	0.09	0.6	0.47	0.71
GCF_000162235.2_ASM16223v2_protein.faa.named.faa	0.06	0.02	0.07	0.09	0.2
GCF_000166295.1_ASM16629v1_protein.faa.named.faa	0.1	0.02	0.42	0.61	0.68
GCF_000023325.1_ASM2332v1_protein.faa.named.faa	0.23	0.06		0.04	0.26
GCF_001644665.1_ASM164466v1_protein.faa.named.faa	0.09	0.06	0.01	0.08	0.29
GCF_000058485.1_ASM5848v1_protein.faa.named.faa	0.13	0.06	0.59	0.24	0.82
GCF_001579805.1_ASM157980v1_protein.faa.named.faa	0.05	0.04	0.44	0.63	0.74
GCF_000011825.1_ASM1182v1_protein.faa.named.faa	0.13	0.1	0.04	0.09	0.06
GCF_000284295.1_ASM28429v1_protein.faa.named.faa	0.12	0.03	0.33	0.25	0.73
GCF_000212735.1_ASM21273v1_protein.faa.named.faa	0.08	0.04	0.34	0.37	0.69
GCF_000021805.1_ASM2180v1_protein.faa.named.faa	0.19	0.09	0.61	0.38	0.77
GCF_000017285.1_ASM1728v1_protein.faa.named.faa	0.25	0.03	0.3	0.21	0.58
GCF_000025605.1_ASM2560v1_protein.faa.named.faa	0.48	0.09	0.68	0.46	0.66
GCF_000007165.1_ASM716v1_protein.faa.named.faa	0.32	0.04	0.36	0.54	0.68
GCF_000022085.1_ASM2208v1_protein.faa.named.faa	0.12	0.2	0.65	0.47	0.84
GCF_000949425.1_ASM94942v1_protein.faa.named.faa	0.02	0.03	0.37	0.37	0.52
GCF_000017205.1_ASM1720v1_protein.faa.named.faa	0.06	0.04	0.4	0.81	0.74
GCF_000294515.1_ASM29451v1_protein.faa.named.faa	0.22	0.04	0.34	0.26	0.68
GCF_000009485.1_ASM948v1_protein.faa.named.faa	0.16	0.04	0.4	0.45	0.75
GCF_001021975.1_ASM102197v1_protein.faa.named.faa	0.05	0.02	0.19	0.27	0.55
GCF_000014725.1_ASM1472v1_protein.faa.named.faa	0.18	0.06	0.14	0.43	0.35
GCF_000014225.1_ASM1422v1_protein.faa.named.faa	0.21	0.03	0.42	0.73	0.56
GCF_000024405.1_ASM2440v1_protein.faa.named.faa	0.17	0.06	0.12	0.04	0.32
GCF_001402915.1_ASM140291v1_protein.faa.named.faa	0.22	0.04	0.3	0.48	0.67
GCF_000144405.1_ASM14440v1_protein.faa.named.faa	0.0	0.01		0.28	0.27
GCF_000319575.2_ASM31957v2_protein.faa.named.faa	0.11	0.08	0.32	0.38	0.52
GCF_001678945.1_ASM167894v1_protein.faa.named.faa	0.15	0.05	0.43	0.43	0.74
GCF_000063445.1_ASM6344v1_protein.faa.named.faa	0.45	0.88	0.4	0.12	0.51
GCF_000306885.1_ASM30688v1_protein.faa.named.faa	0.03	0.02	0.13	0.36	0.3
GCF_000993805.1_ASM99380v1_protein.faa.named.faa	0.44	0.09	0.03	0.07	0.28
GCF_000940805.1_ASM94080v1_protein.faa.named.faa	0.1	0.04	0.6	0.77	0.66
GCF_000025065.1_ASM2506v1_protein.faa.named.faa	0.16	0.07	0.27	0.16	0.62
GCF_000969965.1_ASM96996v1_protein.faa.named.faa	0.36	0.92	0.41	0.27	0.51
GCF_000281175.1_ASM28117v1_protein.faa.named.faa	0.35	0.14	0.38	0.68	0.68
GCF_000194135.1_ASM19413v1_protein.faa.named.faa	0.29	0.12	0.12	0.15	0.35
GCF_000008365.1_ASM836v1_protein.faa.named.faa	0.09	0.14	0.0	0.15	0.16
GCF_000019485.1_ASM1948v1_protein.faa.named.faa	0.21	0.1	0.7	0.31	0.7
GCF_000025865.1_ASM2586v1_protein.faa.named.faa	0.34	0.89	0.51	0.37	0.51
GCF_000222485.1_ASM22248v1_protein.faa.named.faa	0.03	0.03	0.25	0.4	0.55
GCF_001277195.1_ASM127719v1_protein.faa.named.faa	0.11	0.07	0.31	0.33	0.62
GCF_001277255.1_ASM127725v1_protein.faa.named.faa	0.11	0.07	0.37	0.33	0.63
GCF_001267885.1_ASM126788v1_protein.faa.named.faa	0.06	0.03	0.3	0.26	0.71
GCF_000242895.2_ASM24289v3_protein.faa.named.faa	0.18	0.07	0.27	0.78	0.69
GCF_001618685.1_ASM161868v1_protein.faa.named.faa	0.19	0.06	0.26	0.4	0.65
GCF_000092605.1_ASM9260v1_protein.faa.named.faa	0.17	0.04	0.08	0.67	0.55
GCF_000591055.1_ASM59105v1_protein.faa.named.faa	0.02	0.07	0.38	0.19	0.58
GCF_000012245.1_ASM1224v1_protein.faa.named.faa	0.17	0.05	0.38	0.22	0.69
GCF_000023745.1_ASM2374v1_protein.faa.named.faa	0.01	0.19	0.32	0.43	0.69
GCF_000215975.1_ASM21597v1_protein.faa.named.faa	0.67	0.15	0.21	0.42	0.41
GCF_000327485.1_ASM32748v1_protein.faa.named.faa	0.33	0.9	0.47	0.07	0.41
GCF_001294575.1_ASM129457v1_protein.faa.named.faa	0.18	0.04	0.32	0.61	0.71
GCF_001412655.1_ASM141265v1_protein.faa.named.faa	0.08	0.03	0.31	0.49	0.6
GCF_000709555.1_ASM70955v1_protein.faa.named.faa	0.06	0.0	0.12	0.35	0.08
GCF_000253295.1_ASM25329v1_protein.faa.named.faa	0.14	0.23	0.65	0.77	0.85
GCF_001010285.1_ASM101028v1_protein.faa.named.faa	0.01	0.06	0.36	0.23	0.61
GCF_000023205.1_ASM2320v1_protein.faa.named.faa	0.56	0.01	0.34	0.24	0.45
GCF_000306765.2_ASM30676v2_protein.faa.named.faa	0.1	0.11	0.31	0.28	0.57
GCF_001263395.1_ASM126339v1_protein.faa.named.faa	0.04	0.0	0.12	0.1	0.1
GCF_001020985.1_ASM102098v1_protein.faa.named.faa	0.18	0.0	0.28	0.32	0.43
GCF_000590555.1_ASM59055v1_protein.faa.named.faa	0.45	0.32	0.25	0.24	0.32
GCF_000015005.1_ASM1500v1_protein.faa.named.faa	0.15	0.04	0.43	0.22	0.7
GCF_000091125.1_ASM9112v1_protein.faa.named.faa	0.04	0.08	0.33	0.69	0.7
GCF_000164865.1_ASM16486v1_protein.faa.named.faa	0.14	0.06	0.16	0.21	0.58
GCF_000955905.1_ASM95590v3_protein.faa.named.faa	0.19	0.06	0.26	0.22	0.45
GCF_000007705.1_ASM770v1_protein.faa.named.faa	0.1	0.04	0.43	0.54	0.69
GCF_000349945.1_ASM34994v1_protein.faa.named.faa	0.21	0.22	0.5	0.88	0.82
GCF_000974425.1_ASM97442v1_protein.faa.named.faa	0.08	0.04	0.34	0.34	0.72
GCF_000157895.3_ASM15789v2_protein.faa.named.faa	0.18	0.05	0.43	0.31	0.75
GCF_000091785.1_ASM9178v1_protein.faa.named.faa	0.05	0.04	0.24	0.39	0.54
GCF_000963865.1_ASM96386v1_protein.faa.named.faa	0.2	0.01	0.28	0.36	0.44
GCF_000801275.2_ASM80127v1_protein.faa.named.faa	0.09	0.02	0.37	0.77	0.57
GCF_000023585.1_ASM2358v1_protein.faa.named.faa	0.0	0.03	0.3	0.35	0.63
GCF_000145275.1_ASM14527v1_protein.faa.named.faa	0.13	0.06	0.36	0.1	0.39
GCF_000230895.2_ASM23089v3_protein.faa.named.faa	0.08	0.05	0.33	0.23	0.74
GCF_000829195.1_ASM82919v1_protein.faa.named.faa	0.13	0.02	0.31	0.33	0.46
GCF_000012485.1_ASM1248v1_protein.faa.named.faa	0.45	0.11	0.48	0.68	0.54
GCF_000017725.2_ASM1772v2_protein.faa.named.faa	0.37	0.06	0.09	0.8	0.42
GCF_000763535.1_ASM76353v2_protein.faa.named.faa	0.04	0.04	0.27	0.77	0.61
GCF_000146565.1_ASM14656v1_protein.faa.named.faa	0.12	0.01	0.32	0.3	0.58
GCF_000012325.1_ASM1232v1_protein.faa.named.faa	0.16	0.03	0.27	0.8	0.64
GCF_000219535.2_ASM21953v3_protein.faa.named.faa	0.08	0.04	0.38	0.34	0.69
GCF_000815185.1_ASM81518v1_protein.faa.named.faa	0.29	0.04	0.35	0.29	0.67
GCF_000524555.1_ASM52455v1_protein.faa.named.faa	0.13	0.06	0.0	0.15	0.16
GCF_000725365.1_ASM72536v1_protein.faa.named.faa	0.43	0.01	0.26	0.19	0.34
GCF_000210895.1_ASM21089v1_protein.faa.named.faa	0.26	0.04	0.09	0.49	0.38
GCF_000177235.2_ASM17723v2_protein.faa.named.faa	0.15	0.04	0.33	0.43	0.61
GCF_000011725.1_ASM1172v1_protein.faa.named.faa	0.12	0.03	0.15	0.39	0.38
GCF_000960975.1_ASM96097v1_protein.faa.named.faa	0.02	0.06	0.59	0.68	0.77
GCF_000400935.1_ASM40093v1_protein.faa.named.faa	0.01	0.0	0.05	0.01	0.03
GCF_001583415.1_ASM158341v1_protein.faa.named.faa	0.0	0.04	0.34	0.23	0.68
GCF_001465835.2_ASM146583v2_protein.faa.named.faa	0.14	0.06	0.34	0.34	0.45
GCF_000831645.3_ASM83164v3_protein.faa.named.faa	0.28	0.04		0.0	0.11
GCF_000015565.1_ASM1556v1_protein.faa.named.faa	0.18	0.06	0.36	0.32	0.68
GCF_000016525.1_ASM1652v1_protein.faa.named.faa	0.31	0.84	0.36	0.07	0.3
GCF_000026185.1_ASM2618v1_protein.faa.named.faa	0.06	0.04	0.31	0.4	0.62
GCF_001442805.1_ASM144280v1_protein.faa.named.faa	0.23	0.03	0.33	0.44	0.73
GCF_000195575.1_ASM19557v1_protein.faa.named.faa	0.41	0.16	0.0	0.1	0.07
GCF_000211475.1_ASM21147v1_protein.faa.named.faa	0.43	0.09	0.02	0.01	0.29
GCF_000724485.1_ASM72448v1_protein.faa.named.faa	0.09	0.05	0.36	0.41	0.62
GCF_001641285.1_ASM164128v1_protein.faa.named.faa	0.17	0.04	0.29	0.42	0.62
GCF_001278035.1_ASM127803v1_protein.faa.named.faa	0.03	0.07	0.3	0.64	0.66
GCF_000210915.2_ASM21091v2_protein.faa.named.faa	0.27	0.09	0.19	0.59	0.43
GCF_000027225.1_ASM2722v1_protein.faa.named.faa	0.01	0.04	0.24	0.28	0.53
GCF_000024625.1_ASM2462v1_protein.faa.named.faa	0.52	0.9	0.48	0.05	0.36
GCF_000619905.2_ASM61990v2_protein.faa.named.faa	0.0	0.02	0.3	0.7	0.67
GCF_000011485.1_ASM1148v1_protein.faa.named.faa	0.16	0.05	0.7	0.33	0.55
GCF_000027205.1_ASM2720v1_protein.faa.named.faa	0.1	0.05	0.34	0.45	0.6
GCF_000013105.1_ASM1310v1_protein.faa.named.faa	0.5	0.21	0.52	0.07	0.51
GCF_000214355.1_ASM21435v1_protein.faa.named.faa	0.06	0.1	0.43	0.11	0.3
GCF_000442645.1_ASM44264v1_protein.faa.named.faa	0.0	0.0	0.32	0.24	0.49
GCF_001314945.1_ASM131494v1_protein.faa.named.faa	0.11	0.02	0.11	0.24	0.08
GCF_000164965.1_ASM16496v1_protein.faa.named.faa	0.04	0.07	0.05	0.0	0.09
GCF_000418365.1_ASM41836v1_protein.faa.named.faa	0.4	0.01	0.35	0.21	0.42
GCF_000017705.1_ASM1770v1_protein.faa.named.faa	0.04	0.03	0.3	0.76	0.53
GCF_001558255.1_ASM155825v1_protein.faa.named.faa	0.17	0.04	0.3	0.79	0.56
GCF_000010285.1_ASM1028v1_protein.faa.named.faa	0.07	0.01	0.39	0.25	0.48
GCF_000217635.1_ASM21763v1_protein.faa.named.faa	0.07	0.05	0.14	0.1	0.18
GCF_000265295.1_ASM26529v1_protein.faa.named.faa	0.39	0.14	0.5	0.68	0.64
GCF_000166135.1_ASM16613v1_protein.faa.named.faa	0.07	0.05	0.44	0.23	0.75
GCF_001557535.1_ASM155753v1_protein.faa.named.faa	0.08	0.05	0.43	0.59	0.76
GCF_000737535.1_ASM73753v1_protein.faa.named.faa	0.15	0.05	0.7	0.41	0.64
GCF_000018885.1_ASM1888v1_protein.faa.named.faa	0.46	0.09	0.36	0.24	0.45
GCF_000016765.1_ASM1676v1_protein.faa.named.faa	0.08	0.03	0.33	0.78	0.75
GCF_000214175.1_ASM21417v1_protein.faa.named.faa	0.06	0.04	0.32	0.23	0.68
GCF_001548455.1_ASM154845v1_protein.faa.named.faa	0.19	0.12	0.63	0.41	0.8
GCF_000739065.1_ASM73906v1_protein.faa.named.faa	0.47	0.9	0.47	0.03	0.37
GCF_000215085.1_ASM21508v1_protein.faa.named.faa	0.61	0.16	0.41	0.29	0.54
GCF_001186155.3_ASM118615v3_protein.faa.named.faa	0.01	0.15	0.21	0.36	0.41
GCF_000767465.1_ASM76746v1_protein.faa.named.faa	0.04	0.04	0.43	0.69	0.72
GCF_000023845.1_ASM2384v1_protein.faa.named.faa	0.31	0.05		0.25	0.26
GCF_000185965.1_ASM18596v1_protein.faa.named.faa	0.14	0.05	0.27	0.67	0.67
GCF_000236065.1_ASM23606v1_protein.faa.named.faa	0.08	0.18	0.41	0.55	0.78
GCF_000347695.1_ASM34769v1_protein.faa.named.faa	0.04	0.01	0.13	0.08	0.14
GCF_000833575.1_ASM83357v1_protein.faa.named.faa	0.05	0.03	0.25	0.29	0.38
GCF_000517305.1_ASM51730v1_protein.faa.named.faa	0.17	0.04	0.27	0.57	0.67
GCF_000024225.1_ASM2422v1_protein.faa.named.faa	0.02	0.01	0.1	0.06	0.1
GCF_001189515.2_ASM118951v2_protein.faa.named.faa	0.07	0.01	0.08	0.12	0.16
GCF_000020765.1_ASM2076v1_protein.faa.named.faa	0.15	0.0	0.01	0.02	0.04
GCF_000023285.1_ASM2328v1_protein.faa.named.faa	0.17	0.12	0.09	0.52	0.24
GCF_000340905.1_ASM34090v1_protein.faa.named.faa	0.03	0.04	0.09	0.05	0.24
